epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8414,1.81121,2.54299,1.89242,0.1699,0.56,0.13795,0.03527,2.48533,3.63214,2.59153,0.000661538,0.000661538,0.000661538
2,187.52,1.80306,2.27119,1.89217,0.4668,0.24,0.18725,0.05667,2.33603,3.76998,2.56815,0.00130191,0.00130191,0.00130191
3,333.462,1.8632,2.21823,1.93088,0.29665,0.21986,0.19622,0.07138,2.64519,3.92204,2.78031,0.00191587,0.00191587,0.00191587
4,467.897,1.83015,2.1492,1.92696,0.96323,0.24,0.26973,0.10705,2.39337,2.99619,2.43371,0.0018812,0.0018812,0.0018812
5,512.291,1.76247,2.03362,1.85871,0.96405,0.52,0.65067,0.24554,2.16858,2.33025,2.05804,0.0018416,0.0018416,0.0018416
6,555.862,1.75344,1.99144,1.85708,0.7335,0.44,0.47927,0.19574,2.12029,4.55338,2.11933,0.001802,0.001802,0.001802
7,600.237,1.71948,1.89196,1.82475,0.55006,0.36,0.36582,0.16707,2.21885,2.61907,2.24337,0.0017624,0.0017624,0.0017624
8,644.258,1.69993,1.85849,1.80503,0.62731,0.44,0.51984,0.1864,2.08524,2.23717,2.04274,0.0017228,0.0017228,0.0017228
9,762.895,1.68935,1.83882,1.78999,0.74849,0.48,0.57946,0.21974,2.05446,2.12005,1.95992,0.0016832,0.0016832,0.0016832
10,891.296,1.67127,1.82608,1.79403,0.90118,0.36,0.42308,0.16183,2.26847,2.56926,2.35931,0.0016436,0.0016436,0.0016436
11,936.377,1.64784,1.78233,1.77348,0.6538,0.45375,0.52583,0.21727,2.34007,1.7083,2.29848,0.001604,0.001604,0.001604
12,981.265,1.63383,1.74717,1.76139,0.74866,0.52,0.60513,0.23302,2.27687,1.89663,2.20325,0.0015644,0.0015644,0.0015644
13,1025.12,1.6346,1.73256,1.761,0.71683,0.56,0.60913,0.24726,2.03032,2.00397,2.02005,0.0015248,0.0015248,0.0015248
14,1069.85,1.61586,1.64865,1.7206,0.92625,0.64,0.67325,0.28027,1.97241,1.67604,1.9177,0.0014852,0.0014852,0.0014852
15,1115.27,1.62635,1.69613,1.72383,0.76878,0.68,0.73899,0.34973,2.12471,1.61956,1.96618,0.0014456,0.0014456,0.0014456
16,1160.74,1.5833,1.62599,1.71096,0.68103,0.64,0.60651,0.22516,2.29787,1.76966,2.2281,0.001406,0.001406,0.001406
17,1213.1,1.5881,1.60065,1.71448,0.86658,0.51963,0.61638,0.24964,2.13277,1.92287,2.07938,0.0013664,0.0013664,0.0013664
18,1264.58,1.59646,1.61802,1.71818,0.67822,0.64,0.69937,0.29191,2.03401,1.6098,1.94267,0.0013268,0.0013268,0.0013268
19,1314.6,1.56276,1.56765,1.68423,0.97217,0.64,0.73505,0.30301,2.03271,1.44373,1.94791,0.0012872,0.0012872,0.0012872
20,1364.41,1.55519,1.51967,1.67863,0.9327,0.55466,0.61436,0.2954,2.02465,1.99754,1.99568,0.0012476,0.0012476,0.0012476
21,1415.94,1.53846,1.50091,1.66233,0.94777,0.52,0.64943,0.30369,1.99476,1.72317,1.91735,0.001208,0.001208,0.001208
22,1469.5,1.52212,1.50612,1.66697,0.88744,0.63113,0.65855,0.24772,2.36149,1.64897,2.21339,0.0011684,0.0011684,0.0011684
23,1523.07,1.53608,1.49588,1.66064,0.86403,0.56,0.70702,0.3366,2.18252,1.54742,2.06841,0.0011288,0.0011288,0.0011288
24,1574.94,1.5219,1.48364,1.65249,0.7466,0.72,0.7685,0.31304,2.21678,1.48207,2.03809,0.0010892,0.0010892,0.0010892
25,1626.46,1.52462,1.45753,1.65933,1,0.54565,0.62444,0.24361,2.33062,1.78776,2.06364,0.0010496,0.0010496,0.0010496
26,1674.95,1.51354,1.43171,1.63666,0.88565,0.62019,0.73822,0.35955,1.9465,1.38764,1.83179,0.00101,0.00101,0.00101
27,1726.99,1.46923,1.39769,1.61768,0.8686,0.6,0.68056,0.3229,2.06766,1.41194,1.96503,0.0009704,0.0009704,0.0009704
28,1779.08,1.48804,1.40551,1.62595,0.88732,0.63038,0.75554,0.30498,2.11222,1.4817,1.9904,0.0009308,0.0009308,0.0009308
29,1831.87,1.47412,1.39665,1.61963,0.63108,0.72,0.67289,0.31228,2.24277,1.52535,2.22191,0.0008912,0.0008912,0.0008912
30,1882.37,1.47083,1.38522,1.6183,0.77582,0.56,0.65917,0.27279,2.25657,1.60675,2.09081,0.0008516,0.0008516,0.0008516
31,1933.54,1.45956,1.35659,1.60664,0.82083,0.6,0.7147,0.28404,2.21242,1.80589,2.0989,0.000812,0.000812,0.000812
32,1987.12,1.44525,1.32053,1.59359,0.99695,0.68,0.74236,0.30181,2.38003,1.45136,2.28522,0.0007724,0.0007724,0.0007724
33,2093.81,1.44959,1.32127,1.59529,0.9635,0.6,0.70568,0.3349,2.17449,1.37932,2.15937,0.0007328,0.0007328,0.0007328
